ensemble_test_score,duration,duration2
0.0,0.0,0.0
0.0,81.01028299999996,281.01028299999996
0.0,81.01028299999996,281.01028299999996
0.0,81.01028299999996,281.01028299999996
0.6905253386642389,81.46787200000006,281.46787200000006
0.7478945257206013,230.03272099999998,430.032721
0.7479483539567792,244.31375100000002,444.313751
0.7479483539567792,313.010283,513.0102830000001
0.7479483539567792,313.010283,513.0102830000001
0.7479483539567792,313.010283,513.0102830000001
0.7699713282104882,314.191403,514.191403
0.7699713282104882,314.191403,514.191403
0.7699713282104882,314.191403,514.191403
0.7699713282104882,600,600
