Week Ending,Provider State,Newcases
01/31/21,AL,143.0
01/31/21,AR,93.0
01/31/21,AZ,385.0
01/31/21,CA,1468.0
01/31/21,CO,66.0
01/31/21,CT,165.0
01/31/21,DC,9.0
01/31/21,DE,40.0
01/31/21,FL,668.0
01/31/21,GA,177.0
01/31/21,GU,0.0
01/31/21,HI,0.0
01/31/21,IA,67.0
01/31/21,ID,8.0
01/31/21,IL,274.0
01/31/21,IN,155.0
01/31/21,KS,61.0
01/31/21,KY,117.0
01/31/21,LA,56.0
01/31/21,MA,310.0
01/31/21,MD,105.0
01/31/21,ME,9.0
01/31/21,MI,190.0
01/31/21,MN,53.0
01/31/21,MO,114.0
01/31/21,MS,35.0
01/31/21,MT,12.0
01/31/21,NC,377.0
01/31/21,ND,9.0
01/31/21,NE,37.0
01/31/21,NH,14.0
01/31/21,NJ,488.0
01/31/21,NM,39.0
01/31/21,NV,57.0
01/31/21,NY,458.0
01/31/21,OH,464.0
01/31/21,OK,163.0
01/31/21,OR,62.0
01/31/21,PA,469.0
01/31/21,PR,0.0
01/31/21,RI,45.0
01/31/21,SC,157.0
01/31/21,SD,10.0
01/31/21,TN,172.0
01/31/21,TX,977.0
01/31/21,UT,66.0
01/31/21,VA,165.0
01/31/21,VT,14.0
01/31/21,WA,76.0
01/31/21,WI,66.0
01/31/21,WV,39.0
01/31/21,WY,5.0
02/07/21,AK,1.0
02/07/21,AL,89.0
02/07/21,AR,96.0
02/07/21,AZ,345.0
02/07/21,CA,1132.0
02/07/21,CO,43.0
02/07/21,CT,151.0
02/07/21,DC,12.0
02/07/21,DE,35.0
02/07/21,FL,598.0
02/07/21,GA,209.0
02/07/21,GU,0.0
02/07/21,HI,0.0
02/07/21,IA,57.0
02/07/21,ID,22.0
02/07/21,IL,257.0
02/07/21,IN,117.0
02/07/21,KS,49.0
02/07/21,KY,94.0
02/07/21,LA,46.0
02/07/21,MA,229.0
02/07/21,MD,109.0
02/07/21,ME,8.0
02/07/21,MI,150.0
02/07/21,MN,68.0
02/07/21,MO,113.0
02/07/21,MS,30.0
02/07/21,MT,11.0
02/07/21,NC,303.0
02/07/21,ND,3.0
02/07/21,NE,35.0
02/07/21,NH,19.0
02/07/21,NJ,436.0
02/07/21,NM,37.0
02/07/21,NV,75.0
