ensemble_test_score,duration, type
0.662623829476843,53, market
0.6958970539263016, 129, market
0.7101376509007047, 198, market
-0.000261853603476192,316.502372,automl
0.788834385033331,529.01071,automl
0.8016487287513893,549.1720339999999,automl
0.8016487287513893,549.1720339999999,automl
