ensemble_test_score,duration
0,0
0,26.946654999999964
-0.0001535359309778883,28.001112000000035
-0.0001535359309778883,281.946655
-0.0001535359309778883,281.946655
-0.0001535359309778883,281.946655
-0.0001535359309778883,281.946655
0.5447260605744186,282.106426
0.5447260605744186,282.106426
0.5447260605744186,282.106426
0.5447260605744186,523.946655
0.5447260605744186,523.946655
0.5447260605744186,523.946655
0.5447260605744186,523.946655
0.5838708102347279,524.420337
0.5838708102347279,524.420337
0.5838708102347279,524.420337
0.5838708102347279,600
