ensemble_test_score,duration
0,0
0.0,-104.45442400000002
0.0,-104.45442400000002
0.0,-104.45442400000002
-6.475962834939786e-05,-104.33750099999997
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
-6.475962834939786e-05,-33.45442400000002
0.1921658644071168,-32.41005299999995
0.1921658644071168,-32.41005299999995
0.1921658670192684,-9.367872000000034
0.1934320241478119,-2.1705369999999675
0.1934320241478119,-2.1705369999999675
0.19517571402048506,117.76194800000002
0.19517571619935525,120.65406000000002
0.19517571619935525,120.65406000000002
0.19649042814683948,181.234392
0.19649042814683948,181.234392
0.19649042814683948,181.234392
0.19649042814683948,600
